,Mtg Credit YoY Growth Rate (%),HPI YoY Growth Rate (%),Weekly Avg Wages YoY Growth (%),Mortgage Lending Rate (%),Interest_rate_yoy,Unemployment Rate YoY Growth (%),2015 LTV Measures,Mtg Credit YoY Growth Rate (%) (LAGGED),Completed Houses Growth YoY,Exiting Home Sales Growth YoY,Nominal GDP Growth Rate YoY (%), Indexed Value of Loans YoY Growth,wtf_dummy,dummy1
1,-0.0424,-0.1581,-0.029,0.0276,-0.183431953,0.1897,0,-0.058,,,-0.040220639,,0,0
2,-0.058,-0.1265,-0.005,0.0284,-0.013888889,0.1172,0,-0.0212,,,-0.033796296,,0,0
3,-0.0212,-0.1155,0.003,0.0295,0.076642336,0.0876,0,-0.0965,,,0.011100614,,0,0
4,-0.0965,-0.1341,-0.024,0.031,0.148148148,0.1295,0,-0.0967,,,0.009013398,,0,0
5,-0.0967,-0.1444,-0.006,0.0313,0.134057971,0.0797,0,-0.0867,0.506988422,-0.017910448,0.011733716,0.464934328,0,0
6,-0.0867,-0.16,-0.014,0.0335,0.179577465,0.0559,0,-0.0914,0.507100992,-0.12605042,0.030426449,0.468057692,0,0
7,-0.0914,-0.1862,-0.019,0.0352,0.193220339,0.047,0,-0.1926,0.390802366,-0.060781476,0.018920813,0.299770145,0,0
8,-0.1926,-0.1965,-0.01,0.0332,0.070967742,0.0127,0,-0.192,0.393070022,0.371263259,0.020521487,0.302976922,1,0
9,-0.192,-0.1954,0.02,0.0325,0.038338658,0.0537,0,-0.1864,-0.023271608,0.09118541,0.029112426,-0.061712446,1,0
10,-0.1864,-0.1715,0.006,0.0319,-0.047761194,0.0199,0,-0.1899,-0.022511405,0.169230769,0.015345269,-0.063109394,1,0
11,-0.1899,-0.1087,0.008,0.0316,-0.102272727,-0.0192,0,0.0568,-0.02493637,0.128659476,0.027510316,-0.058465142,1,0
12,0.0568,-0.0483,-0.007,0.0312,-0.060240964,-0.0692,0,0.0556,-0.027314965,0.201125176,0.022947717,-0.064984193,1,0
13,0.0556,-0.0326,-0.008,0.0318,-0.021538462,-0.0828,0,0.0446,-0.031290063,0.086350975,-0.00275989,-0.048209793,1,0
14,0.0446,-0.0089,0.006,0.0321,0.006269592,-0.0844,0,0.0696,-0.032342332,0.204769737,0.016945271,-0.065704348,1,0
15,0.0696,0.0352,-0.013,0.0326,0.03164557,-0.1438,0,-0.0194,-0.032380638,0.338566553,0.04573851,-0.069413758,1,0
16,-0.0194,0.0561,0.003,0.032,0.025641026,-0.1351,0,-0.012,-0.035846793,0.307377049,0.041165587,-0.068465633,1,0
17,-0.012,0.1049,0.009,0.0323,0.01572327,-0.1181,0,-0.0324,-0.031190417,0.647863248,0.072186347,-0.083802803,1,0
18,-0.0324,0.1658,-0.002,0.0305,-0.049844237,-0.156,0,-0.0476,-0.034993392,0.482593857,0.087592884,-0.069573114,1,0
19,-0.0476,0.1924,-0.009,0.0307,-0.058282209,-0.1221,0,-0.0604,-0.040430254,0.552779194,0.079581822,-0.07311587,1,0
20,-0.0604,0.1954,0.012,0.0309,-0.034375,-0.1563,0,-0.0688,-0.03931102,0.62651142,0.105286539,-0.074929532,1,0
21,-0.0688,0.175,0.002,0.0317,-0.018575851,-0.1732,1,-0.0441,-0.048691263,0.444502075,0.360937836,-0.083426287,1,0
22,-0.0441,0.138,0.007,0.03,-0.016393443,-0.1681,1,-0.0527,-0.049032575,0.199355433,0.303519669,-0.085186763,1,0
23,-0.0527,0.0867,0.024,0.0302,-0.016286645,-0.1652,1,-0.0161,-0.048396854,0.053530378,0.34229249,-0.085682542,1,0
24,-0.0161,0.0695,0.013,0.0303,-0.019417476,-0.1296,1,-0.0406,-0.05028603,-0.075165198,0.380827974,-0.088557031,1,0
25,-0.0406,0.0747,0.019,0.0296,-0.066246057,-0.1619,1,-0.0449,-0.050027381,-0.09551167,0.02038881,-0.08612815,1,0
26,-0.0449,0.0629,0.01,0.0308,0.026666667,-0.1111,1,-0.0214,-0.059179755,0.038771593,0.007306226,-0.090099122,1,0
27,-0.0214,0.0745,0.015,0.032,0.059602649,-0.1771,1,-0.0462,-0.060880296,-0.00872818,0.012073027,-0.091480934,1,0
28,-0.0462,0.0855,0.009,0.0315,0.03960396,-0.2021,1,-0.0081,-0.062886728,-0.022625781,0.078300102,-0.092576128,1,0
29,-0.0081,0.094,0.015,0.027,-0.087837838,-0.2045,1,0.0347,-0.06361447,0.121079794,0.084727385,-0.093806503,1,0
30,0.0347,0.1057,0.02,0.0273,-0.113636364,-0.25,1,0.0295,-0.057983149,0.063932003,0.111005992,-0.094039924,1,0
31,0.0295,0.1177,0.021,0.0274,-0.14375,-0.1646,1,0.0181,-0.11711066,-0.048113208,0.138347396,-0.093764938,1,0
32,0.0181,0.1166,0.02,0.0259,-0.177777778,-0.1733,1,0.0176,-0.116224229,0.0554371,0.101903091,-0.093286815,1,0
33,0.0176,0.1231,0.027,0.0266,-0.014814815,-0.1571,1,-0.0106,-0.031163643,-0.106232295,0.137369699,0.058669225,1,0
34,-0.0106,0.1254,0.034,0.0267,-0.021978022,-0.1212,1,-0.0049,-0.031289928,-0.072594651,0.10701107,0.059474387,1,0
35,-0.0049,0.091,0.035,0.0277,0.010948905,-0.1515,1,0.0178,0.031962235,0.038321771,0.086773163,0.058179696,1,0
36,0.0178,0.0726,0.035,0.031,0.196911197,-0.129,1,-0.0072,0.147945414,-0.007792208,0.032459579,0.251779536,1,1
37,-0.0072,0.0444,0.036,0.0307,0.154135338,-0.1356,1,-0.0148,0.041259531,0.039223455,0.066290019,0.073339286,1,1
38,-0.0148,0.0253,0.036,0.0301,0.127340824,-0.1034,1,-0.0095,0.041447434,0.042322097,0.088846154,0.072773041,1,1
39,-0.0095,0.0172,0.036,0.0292,0.054151625,-0.1607,1,0.0047,0.039130561,0.066815145,0.096190028,0.069205356,1,1
40,0.0047,0.0084,0.038,0.0335,0.080645161,-0.0926,1,-0.0165,-0.069041547,-0.015415939,0.102977815,-0.100365537,1,1
41,-0.0165,0.01,0.037,0.0283,-0.078175896,-0.0196,1,-0.0144,0.079439126,0.120853984,0.073590015,0.123614026,1,1
42,-0.0144,0.0034,0.06,0.0289,-0.03986711,0.0192,1,-0.0216,0.077365711,-0.3392023,-0.026374661,0.128647933,1,1
43,-0.0216,-0.0077,0.033,0.0286,-0.020547945,0.4468,1,-0.0356,0.080445267,-0.229346854,0.053100193,0.132441742,1,1